kind,date,mode_price
だいこん,20220502,1020.2549
だいこん,20220506,1021.97363
だいこん,20220507,1018.19104
だいこん,20220509,1018.5541
だいこん,20220510,1022.65344
だいこん,20220512,1018.1205
だいこん,20220513,1018.5832
だいこん,20220514,1016.22186
だいこん,20220516,1009.3379
だいこん,20220517,1010.27637
だいこん,20220519,1010.3932
だいこん,20220520,1013.9881
だいこん,20220521,1011.6703
だいこん,20220523,1007.0797
だいこん,20220524,1004.9362
だいこん,20220526,1001.817
だいこん,20220527,1003.89667
だいこん,20220528,1004.58093
だいこん,20220530,998.1258
だいこん,20220531,984.2362
にんじん,20220502,1356.9344
にんじん,20220506,1346.9486
にんじん,20220507,1345.9243
にんじん,20220509,1343.5674
にんじん,20220510,1339.7527
にんじん,20220512,1335.2874
にんじん,20220513,1337.594
にんじん,20220514,1338.9635
にんじん,20220516,1351.8433
にんじん,20220517,1338.9442
にんじん,20220519,1335.4866
にんじん,20220520,1340.5498
にんじん,20220521,1340.0859
にんじん,20220523,1330.0249
にんじん,20220524,1338.0325
にんじん,20220526,1378.3408
にんじん,20220527,1379.7623
にんじん,20220528,1386.4358
にんじん,20220530,1384.8945
にんじん,20220531,1403.4569
キャベツ,20220502,1085.3969
キャベツ,20220506,1067.7748
キャベツ,20220507,1068.6895
キャベツ,20220509,1067.3455
キャベツ,20220510,1068.0042
キャベツ,20220512,1064.5894
キャベツ,20220513,1065.159
キャベツ,20220514,1065.2498
キャベツ,20220516,1044.5754
キャベツ,20220517,1005.46747
キャベツ,20220519,975.4289
キャベツ,20220520,974.61755
キャベツ,20220521,969.7611
キャベツ,20220523,961.95276
キャベツ,20220524,944.2344
キャベツ,20220526,951.4118
キャベツ,20220527,937.7438
キャベツ,20220528,940.00745
キャベツ,20220530,956.28357
キャベツ,20220531,960.2218
レタス,20220502,1732.9404
レタス,20220506,1696.8877
レタス,20220507,1649.9723
レタス,20220509,1602.5945
レタス,20220510,1611.5872
レタス,20220512,1592.738
レタス,20220513,1548.8622
レタス,20220514,1541.4857
レタス,20220516,1381.1248
レタス,20220517,1371.4797
レタス,20220519,1324.3168
レタス,20220520,1323.2865
レタス,20220521,1318.3411
レタス,20220523,1306.9619
レタス,20220524,1324.8096
レタス,20220526,1304.9813
レタス,20220527,1388.964
レタス,20220528,1381.4099
レタス,20220530,1387.8691
レタス,20220531,1475.9856
はくさい,20220502,1314.8474
はくさい,20220506,1222.897
はくさい,20220507,1221.5217
はくさい,20220509,1212.6545
はくさい,20220510,1207.0754
はくさい,20220512,1198.5808
はくさい,20220513,1210.0237
はくさい,20220514,1216.9349
はくさい,20220516,1220.4731
はくさい,20220517,1224.2305
はくさい,20220519,1233.6438
はくさい,20220520,1244.3322
はくさい,20220521,1245.0287
はくさい,20220523,1266.5852
はくさい,20220524,1274.1337
はくさい,20220526,1279.5189
はくさい,20220527,1276.5328
はくさい,20220528,1272.8257
はくさい,20220530,1258.6361
はくさい,20220531,1265.139
こまつな,20220502,99.31017
こまつな,20220506,96.85646
こまつな,20220507,99.59392
こまつな,20220509,102.90715
こまつな,20220510,105.57011
こまつな,20220512,110.64579
こまつな,20220513,110.59978
こまつな,20220514,111.53105
こまつな,20220516,103.78953
こまつな,20220517,104.37156
こまつな,20220519,99.54438
こまつな,20220520,98.178696
こまつな,20220521,99.139366
こまつな,20220523,101.62834
こまつな,20220524,100.696915
こまつな,20220526,105.47508
こまつな,20220527,106.58894
こまつな,20220528,105.08177
こまつな,20220530,96.1599
こまつな,20220531,100.37911
ほうれんそう,20220502,89.60057
ほうれんそう,20220506,78.36601
ほうれんそう,20220507,76.53931
ほうれんそう,20220509,76.9203
ほうれんそう,20220510,76.909515
ほうれんそう,20220512,77.67634
ほうれんそう,20220513,80.094
ほうれんそう,20220514,79.04967
ほうれんそう,20220516,79.53069
ほうれんそう,20220517,81.2604
ほうれんそう,20220519,80.04761
ほうれんそう,20220520,82.23897
ほうれんそう,20220521,81.053986
ほうれんそう,20220523,82.231064
ほうれんそう,20220524,80.617905
