kind,date,mode_price
だいこん,20220502,1067.4128140182274
だいこん,20220506,1067.4128140182274
だいこん,20220507,1056.8181495737588
だいこん,20220509,1056.8181495737588
だいこん,20220510,1056.8181495737588
だいこん,20220512,1063.0926101798116
だいこん,20220513,1063.0926101798116
だいこん,20220514,1053.3571032124153
だいこん,20220516,1053.3571032124153
だいこん,20220517,1053.3571032124153
だいこん,20220519,1053.3571032124153
だいこん,20220520,1053.3571032124153
だいこん,20220521,1053.3571032124153
だいこん,20220523,1053.3571032124153
だいこん,20220524,1053.3571032124153
だいこん,20220526,1049.5920475948576
だいこん,20220527,1051.5981911226356
だいこん,20220528,1051.5981911226356
だいこん,20220530,1045.8508116551186
だいこん,20220531,1032.4925573615767
にんじん,20220502,1281.9328658319898
にんじん,20220506,1281.9328658319898
にんじん,20220507,1281.9328658319898
にんじん,20220509,1279.4144688148692
にんじん,20220510,1279.4144688148692
にんじん,20220512,1277.1970144119641
にんじん,20220513,1277.1970144119641
にんじん,20220514,1270.334251956404
にんじん,20220516,1270.334251956404
にんじん,20220517,1270.334251956404
にんじん,20220519,1270.334251956404
にんじん,20220520,1270.334251956404
にんじん,20220521,1270.334251956404
にんじん,20220523,1267.1250203446327
にんじん,20220524,1242.8559025109214
にんじん,20220526,1242.8559025109214
にんじん,20220527,1242.8559025109214
にんじん,20220528,1232.2015536883498
にんじん,20220530,1234.657709306223
にんじん,20220531,1233.2779866012627
キャベツ,20220502,1164.633674728533
キャベツ,20220506,1061.2265084393657
キャベツ,20220507,1061.2265084393657
キャベツ,20220509,1067.2650741623893
キャベツ,20220510,1067.2650741623893
キャベツ,20220512,1067.2650741623893
キャベツ,20220513,1067.2650741623893
キャベツ,20220514,1067.2650741623893
キャベツ,20220516,1067.2650741623893
キャベツ,20220517,1004.0807722501926
キャベツ,20220519,1000.9360220006279
キャベツ,20220520,1000.9360220006279
キャベツ,20220521,1000.9360220006279
キャベツ,20220523,1000.9360220006279
キャベツ,20220524,1000.9360220006279
キャベツ,20220526,1000.9360220006279
キャベツ,20220527,1000.9360220006279
キャベツ,20220528,1000.9360220006279
キャベツ,20220530,1000.9360220006279
キャベツ,20220531,1000.9360220006279
レタス,20220502,1397.1006202740639
レタス,20220506,1396.2465508343923
レタス,20220507,1373.751995029151
レタス,20220509,1361.8185154440043
レタス,20220510,1349.0616493485252
レタス,20220512,1346.0471157689772
レタス,20220513,1311.0827824189173
レタス,20220514,1311.0827824189173
レタス,20220516,1153.7683521570605
レタス,20220517,1153.7683521570605
レタス,20220519,1065.5503983406918
レタス,20220520,1065.5503983406918
レタス,20220521,1065.5503983406918
レタス,20220523,1065.5767445036995
レタス,20220524,1065.5767445036995
レタス,20220526,1065.6892759055065
レタス,20220527,1078.9941098814343
レタス,20220528,1076.4944841904119
レタス,20220530,1076.4944841904119
レタス,20220531,1099.5744482781631
はくさい,20220502,1023.6000883112334
はくさい,20220506,1012.3728526352764
はくさい,20220507,1012.3728526352764
はくさい,20220509,1001.8144519035859
はくさい,20220510,1001.8144519035859
はくさい,20220512,1001.8144519035859
はくさい,20220513,993.6439676700651
はくさい,20220514,993.6439676700651
はくさい,20220516,993.6439676700651
はくさい,20220517,993.6439676700651
