,kind,date,new_col
0,だいこん,20220502.0,168.3102451321131
1,だいこん,20220506.0,144.9247965496716
2,だいこん,20220507.0,1530.80329437073
3,だいこん,20220509.0,134.42714931807828
4,だいこん,20220510.0,144.9247965496716
5,だいこん,20220512.0,119.51892107054098
6,だいこん,20220513.0,2417.3792900551834
7,だいこん,20220514.0,1268.4023044658338
8,だいこん,20220516.0,1101.5367620080735
9,だいこん,20220517.0,2809.0032225180253
10,だいこん,20220519.0,1600.434985318924
11,だいこん,20220520.0,2411.5390413338987
12,だいこん,20220521.0,1078.9401701342322
13,だいこん,20220523.0,1789.4233722530726
14,だいこん,20220524.0,1075.7102133961778
15,だいこん,20220526.0,119.51892107054098
16,だいこん,20220527.0,1998.1212324607861
17,だいこん,20220528.0,958.9134965441469
18,だいこん,20220530.0,175.63231053140393
19,だいこん,20220531.0,175.63231053140393
20,にんじん,20220502.0,134.42714931807828
21,にんじん,20220506.0,1358.4607420528919
22,にんじん,20220507.0,1340.2863947055089
23,にんじん,20220509.0,2417.3792900551834
24,にんじん,20220510.0,3010.4146168956804
25,にんじん,20220512.0,2615.4460026941174
26,にんじん,20220513.0,163.14530574832955
27,にんじん,20220514.0,134.42714931807828
28,にんじん,20220516.0,2061.750253221204
29,にんじん,20220517.0,2104.2348174114077
30,にんじん,20220519.0,1669.8664230672796
31,にんじん,20220520.0,1863.7723409391651
32,にんじん,20220521.0,163.14530574832955
33,にんじん,20220523.0,175.63231053140393
34,にんじん,20220524.0,970.2167786732492
35,にんじん,20220526.0,1709.2024664608562
36,にんじん,20220527.0,1614.0073600084697
37,にんじん,20220528.0,175.63231053140393
38,にんじん,20220530.0,270.7549464348287
39,にんじん,20220531.0,1008.5232245149051
40,キャベツ,20220502.0,325.1653623506827
41,キャベツ,20220506.0,1194.708714401102
42,キャベツ,20220507.0,175.63231053140393
43,キャベツ,20220509.0,901.3840600921068
44,キャベツ,20220510.0,1683.967292639458
45,キャベツ,20220512.0,165.1346632998106
46,キャベツ,20220513.0,2220.490341006504
47,キャベツ,20220514.0,1528.3492561082437
48,キャベツ,20220516.0,1336.2573878717776
49,キャベツ,20220517.0,1850.4429349590916
50,キャベツ,20220519.0,949.0453095859918
51,キャベツ,20220520.0,2550.6045551946618
52,キャベツ,20220521.0,2969.8805158948426
53,キャベツ,20220523.0,1560.5461768505245
54,キャベツ,20220524.0,152.64765851673621
55,キャベツ,20220526.0,1339.672112930257
56,キャベツ,20220527.0,1474.6973954178902
57,キャベツ,20220528.0,270.7549464348287
58,キャベツ,20220530.0,903.6187389850359
59,キャベツ,20220531.0,134.42714931807828
60,レタス,20220502.0,1560.5461768505245
61,レタス,20220506.0,2993.86988687855
62,レタス,20220507.0,1891.345292026526
63,レタス,20220509.0,2393.8010157018816
64,レタス,20220510.0,984.1992708502542
65,レタス,20220512.0,163.14530574832955
66,レタス,20220513.0,932.0235338273293
67,レタス,20220514.0,196.02716251990046
68,レタス,20220516.0,1123.6079648458983
69,レタス,20220517.0,1725.8326050718365
70,レタス,20220519.0,2208.23436764666
71,レタス,20220520.0,1263.20051858066
72,レタス,20220521.0,1043.963386195223
73,レタス,20220523.0,2177.723723521169
74,レタス,20220524.0,2964.1373594450515
75,レタス,20220526.0,1516.7900987513435
